"DISTRICT","WARD_CURRENT","VILLAGE.SHEHIA","HumanFEMALEs_vill","HumanMALES_vill","DogsOwned","DogsStray_estimate1","DogsStray_estimate2","Easting","Northing","Mainland.Island","DW","ward_match","totalHumans","DogsStray_estimate_mean","totalDogs","month"
"Mkoani","Mkanyageni","Stahabu",1422,1460,35,30,30,571570,9402504,"Mainland","Mkoani_Stahabu",112,2882,30,65,30
"Mkoani","Chokocho","Chokocho",2570,2529,35,10,10,571975,9400236,"Mainland","Mkoani_Chokocho",95,5099,10,45,30
"Mkoani","Kisiwa Panza","Kisiwa Panza",2246,2362,0,0,0,571701,9396590,"Island","Mkoani_Kisiwa Panza",96,4608,0,0,30
"Mkoani","Kiwani","Kiwani",1313,1377,12,7,7,584162,9403268,"Mainland","Mkoani_Kiwani",100,2690,7,19,33
"Mkoani","Kiwani","Kendwa",2316,2339,21,11,11,581728,9403244,"Mainland","Mkoani_Kendwa",117,4655,11,32,30
"Mkoani","Kiwani","Mtangani",1900,1746,26,8,8,586447,9406256,"Mainland","Mkoani_Mtangani",108,3646,8,34,33
"Mkoani","Muambe","Muambe",3636,3348,15,7,7,582551,9400730,"Mainland","Mkoani_Muambe",99,6984,7,22,31
"Mkoani","Muambe","Jombwe",1614,1427,2,0,0,583675,9401562,"Mainland","Mkoani_Jombwe",116,3041,0,2,30
"Mkoani","Muambe","Shamiani",498,718,0,0,0,581763,9398818,"Mainland","Mkoani_Shamiani",115,1216,0,0,30
"Mkoani","Mtambile","Mtambile",2573,2268,13,10,10,577680,9405460,"Mainland","Mkoani_Mtambile",101,4841,10,23,31
"Mkoani","Kangani","Mjimbini",1347,1063,42,1,1,576749,9402622,"Mainland","Mkoani_Mjimbini",114,2410,1,43,30
"Mkoani","Kangani","Kuukuu",1332,1268,54,16,16,577054,9399038,"Mainland","Mkoani_Kuukuu",113,2600,16,70,30
"Mkoani","Kangani","Kangani",2287,2270,21,20,20,576299,9400154,"Mainland","Mkoani_Kangani",97,4557,20,41,30
"Mkoani","Kengeja","Mkungu",829,735,22,14,14,581510,9411104,"Mainland","Mkoani_Mkungu",120,1564,14,36,33
"Mkoani","Kengeja","Kengeja",3028,2500,43,19,19,580609,9401094,"Mainland","Mkoani_Kengeja",98,5528,19,62,31
"Mkoani","Mtambile","Minazini",728,686,18,12,10,580890,9406012,"Mainland","Mkoani_Minazini",118,1414,11,29,31
"Mkoani","Chambani","Chambani",2639,3009,50,20,20,586812,9409518,"Mainland","Mkoani_Chambani",104,5648,20,70,30
"Mkoani","Chambani","Mizingani",1121,1174,13,0,0,578792,9406796,"Mainland","Mkoani_Mizingani",102,2295,0,13,31
"Mkoani","Chambani","Ukutini",1549,1475,30,4,4,584340,9409084,"Mainland","Mkoani_Ukutini",109,3024,4,34,30
"Mkoani","Chambani","Ngwachani",1449,1749,45,16,16,575043,9405376,"Mainland","Mkoani_Ngwachani",103,3198,16,61,31
