"district","shehia","d_s","year","dog_pop_est","dogs_vacc","vc_est","vc_waning_est","human_exposures","animal_cases"
"Micheweni","Mgogoni","Micheweni_Mgogoni",1,79,0,0,0.0566192462591309,0,0
"Micheweni","Shumba Viamboni","Micheweni_Shumba Viamboni",1,48,0,0,0,0,0
"Micheweni","Finya","Micheweni_Finya",1,120,32,0.266666666666667,0.211440662341562,0,0
"Micheweni","Konde","Micheweni_Konde",1,65,0,0,0.0802831876443575,0,0
"Micheweni","Wingwi Mapofu","Micheweni_Wingwi Mapofu",1,27,0,0,0.0920354002977643,0,0
"Micheweni","Kiuyu Mbuyuni","Micheweni_Kiuyu Mbuyuni",1,46,0,0,0,0,0
"Micheweni","Makangale","Micheweni_Makangale",1,104,29,0.278846153846154,0.238878929481282,0,0
"Micheweni","Wingwi Njuguni","Micheweni_Wingwi Njuguni",1,26,6,0.230769230769231,0.197692907156923,0,0
"Micheweni","Shumba Mjini","Micheweni_Shumba Mjini",1,44,0,0,0,0,0
"Micheweni","Majenzi","Micheweni_Majenzi",1,13,0,0,0,0,0
"Micheweni","Mjini Wingwi","Micheweni_Mjini Wingwi",1,30,0,0,0,0,0
"Micheweni","Msuka Magharibi","Micheweni_Msuka Magharibi",1,44,0,0,0,0,0
"Micheweni","Chimba","Micheweni_Chimba",1,47,0,0,0,0,0
"Micheweni","Tumbe Magharibi","Micheweni_Tumbe Magharibi",1,21,0,0,0.248495580803964,0,0
"Micheweni","Sizini","Micheweni_Sizini",1,27,0,0,0,0,0
"Micheweni","Kinyasini","Micheweni_Kinyasini",1,56,12,0.214285714285714,0.169907675095898,0,0
"Micheweni","Mihogoni","Micheweni_Mihogoni",1,77,0,0,0.0258177226809313,0,0
"Micheweni","Kifundi","Micheweni_Kifundi",1,77,31,0.402597402597403,0.344892820710996,0,0
"Micheweni","Maziwa Ng'ombe","Micheweni_Maziwa Ng'ombe",1,54,0,0,0,0,0
"Micheweni","Tondooni","Micheweni_Tondooni",1,68,0,0,0,0,0
"Micheweni","Mtemani","Micheweni_Mtemani",1,38,0,0,0,0,0
"Micheweni","Wingwi Mjananza","Micheweni_Wingwi Mjananza",1,22,0,0,0,0,0
"Micheweni","Mlindo","Micheweni_Mlindo",1,13,0,0,0,0,0
"Chake Chake","Chanjaani","Chake Chake_Chanjaani",1,47,9,0.191489361702128,0.164043050619575,0,0
"Chake Chake","Wawi","Chake Chake_Wawi",1,66,74,1,0.792902483780857,0,0
"Chake Chake","Pujini","Chake Chake_Pujini",1,11,12,1,0.856669264346668,0,0
"Chake Chake","Ziwani","Chake Chake_Ziwani",1,53,0,0,0.103149109012966,0,0
"Chake Chake","Ndagoni","Chake Chake_Ndagoni",1,21,0,0,0.189329966326829,0,0
"Chake Chake","Kwale","Chake Chake_Kwale",1,5,0,0,0,0,0
"Chake Chake","Vitongoji","Chake Chake_Vitongoji",1,33,0,0,0.112952536729074,0,0
"Chake Chake","Ng'ambwa","Chake Chake_Ng'ambwa",1,63,0,0,0.0867762345664634,0,0
"Chake Chake","Shungi","Chake Chake_Shungi",1,20,0,0,0,0,0
"Chake Chake","Chonga","Chake Chake_Chonga",1,51,0,0,0.0633420107931672,0,0
"Chake Chake","Mgelema","Chake Chake_Mgelema",1,30,0,0,0,0,0
"Chake Chake","Kilindi","Chake Chake_Kilindi",1,46,0,0,0,0,0
"Chake Chake","Tibirinzi","Chake Chake_Tibirinzi",1,38,14,0.368421052631579,0.31561499212772,0,0
"Chake Chake","Chachani","Chake Chake_Chachani",1,4,0,0,0,0,0
"Chake Chake","Wara","Chake Chake_Wara",1,62,26,0.419354838709677,0.332507493198424,0,0
"Chake Chake","Mvumoni","Chake Chake_Mvumoni",1,33,0,0,0.0978921984985311,0,0
"Chake Chake","Matale","Chake Chake_Matale",1,44,0,0,0.208962192948788,0,0
"Chake Chake","Wesha","Chake Chake_Wesha",1,20,0,0,0.0993982323215854,0,0
"Chake Chake","Uwandani","Chake Chake_Uwandani",1,16,0,0,0.186371685602973,0,0
"Chake Chake","Madungu","Chake Chake_Madungu",1,33,0,0,0,0,0
"Chake Chake","Mgogoni","Chake Chake_Mgogoni",1,27,0,0,0.165663720535976,0,0
"Chake Chake","Dodo","Chake Chake_Dodo",1,20,0,0,0.248495580803964,0,0
"Chake Chake","Mbuzini","Chake Chake_Mbuzini",1,25,0,0,0,0,0
"Chake Chake","Michungwani","Chake Chake_Michungwani",1,5,0,0,0,0,0
"Chake Chake","Kibokoni","Chake Chake_Kibokoni",1,54,0,0,0.0414159301339939,0,0
"Chake Chake","Kichungwani","Chake Chake_Kichungwani",1,12,0,0,0.248495580803964,0,0
"Chake Chake","Msingini","Chake Chake_Msingini",1,14,0,0,0,0,0
"Chake Chake","Mkoroshoni","Chake Chake_Mkoroshoni",1,14,0,0,0,0,0
"Chake Chake","Mfikiwa","Chake Chake_Mfikiwa",1,20,0,0,0,0,0
"Mkoani","Ng'ombeni","Mkoani_Ng'ombeni",1,19,0,0,0,0,0
"Mkoani","Makombeni","Mkoani_Makombeni",1,10,2,0.2,0.158580496756171,0,0
"Mkoani","Makoongwe","Mkoani_Makoongwe",1,0,0,0,NA,0,0
"Mkoani","Shidi","Mkoani_Shidi",1,7,0,0,0,0,0
"Mkoani","Mkanyageni","Mkoani_Mkanyageni",1,28,3,0.107142857142857,0.084953837547949,0,0
"Mkoani","Michenzani","Mkoani_Michenzani",1,39,1,0.0256410256410256,0.0382300893544559,0,0
"Mkoani","Chokocho","Mkoani_Chokocho",1,45,3,0.0666666666666667,0.0528601655853905,0,0
"Mkoani","Kisiwa Panza","Mkoani_Kisiwa Panza",1,0,0,0,NA,0,0
"Mkoani","Kangani","Mkoani_Kangani",1,41,3,0.0731707317073171,0.0580172549107944,0,0
"Mkoani","Kengeja","Mkoani_Kengeja",1,62,6,0.0967741935483871,0.0841678580142457,0,0
"Mkoani","Muambe","Mkoani_Muambe",1,22,3,0.136363636363636,0.116818536047273,0,0
"Mkoani","Kiwani","Mkoani_Kiwani",1,19,2,0.105263157894737,0.0901757120364914,0,0
"Mkoani","Mtambile","Mkoani_Mtambile",1,23,8,0.347826086956522,0.275792168271602,0,0
"Mkoani","Mizingani","Mkoani_Mizingani",1,13,2,0.153846153846154,0.229380536126736,0,0
"Mkoani","Ngwachani","Mkoani_Ngwachani",1,61,2,0.0327868852459016,0.052958074597566,0,0
"Mkoani","Chambani","Mkoani_Chambani",1,70,1,0.0142857142857143,0.0122381323478095,0,0
"Mkoani","Wambaa","Mkoani_Wambaa",1,36,5,0.138888888888889,0.118981842270371,0,0
"Mkoani","Mbuguani","Mkoani_Mbuguani",1,32,0,0,0,0,0
"Mkoani","Uweleni","Mkoani_Uweleni",1,23,2,0.0869565217391304,0.0689480420679006,0,0
"Mkoani","Mtangani","Mkoani_Mtangani",1,34,2,0.0588235294117647,0.0503923096674511,0,0
"Mkoani","Ukutini","Mkoani_Ukutini",1,34,5,0.147058823529412,0.125980774168628,0,0
"Mkoani","Chumbageni","Mkoani_Chumbageni",1,101,4,0.0396039603960396,0.0319845797074408,0,0
"Mkoani","Mbuyuni","Mkoani_Mbuyuni",1,13,6,0.461538461538462,0.395385814313847,0,0
"Mkoani","Stahabu","Mkoani_Stahabu",1,65,0,0,0.0305840714835647,0,0
"Mkoani","Kuukuu","Mkoani_Kuukuu",1,70,3,0.0428571428571429,0.0339815350191796,0,0
"Mkoani","Mjimbini","Mkoani_Mjimbini",1,43,0,0,0.0577896699544101,0,0
"Mkoani","Shamiani","Mkoani_Shamiani",1,0,0,0,NA,0,0
"Mkoani","Jombwe","Mkoani_Jombwe",1,3,1,0.25,0.248495580803963,0,0
"Mkoani","Kendwa","Mkoani_Kendwa",1,32,6,0.1875,0.160625487065,0,0
"Mkoani","Minazini","Mkoani_Minazini",1,29,4,0.137931034482759,0.109365859831842,0,0
"Mkoani","Mgagadu","Mkoani_Mgagadu",1,50,0,0,0,0,0
"Mkoani","Mkungu","Mkoani_Mkungu",1,36,4,0.111111111111111,0.0951854738162964,0,0
"Mkoani","Changaweni","Mkoani_Changaweni",1,37,0,0,0,0,0
"Wete","Kipangani","Wete_Kipangani",1,4,2,0.333333333333333,0,0,0
"Wete","Mtambwe Kaskazini","Wete_Mtambwe Kaskazini",1,151,56,0.335329341317365,0.264604580999118,0,0
"Wete","Fundo","Wete_Fundo",1,88,0,0,0.00882872040055672,0,0
"Wete","Mchanga Mdogo","Wete_Mchanga Mdogo",1,25,0,0,0.0353590252042297,0,0
"Wete","Kambini","Wete_Kambini",1,15,10,0.666666666666667,0,0,0
"Wete","Kojani","Wete_Kojani",1,64,0,0,0,0,0
"Wete","Ole","Wete_Ole",1,31,36,0.77445652173913,0.0760409144176982,0,0
"Wete","Kangagani","Wete_Kangagani",1,13,4,0.307692307692308,0,0,0
"Wete","Kiuyu Minungwini","Wete_Kiuyu Minungwini",1,7,0,0,0,0,0
"Wete","Piki","Wete_Piki",1,34,21,0.58235294117647,0.326669751208468,0,0
"Wete","Kisiwani","Wete_Kisiwani",1,65,31,0.476923076923077,0.256310112486644,0,0
"Wete","Gando","Wete_Gando",1,69,21,0.42,0.145116071661744,0,0
"Wete","Ukunjwi","Wete_Ukunjwi",1,88,35,0.421686746987952,0.357604386739573,0,0
"Wete","Pandani","Wete_Pandani",1,32,32,0.666666666666667,0.0920807948026814,0,0
"Wete","Shengejuu","Wete_Shengejuu",1,21,0,0,0.0881489804848246,0,0
"Wete","Bopwe","Wete_Bopwe",1,23,17,0.739130434782609,0.321935406988055,0,0
"Wete","Utaani","Wete_Utaani",1,19,0,0,0,0,0
"Wete","Mtambwe Kusini","Wete_Mtambwe Kusini",1,134,41,0.312912183269698,0.669998034505925,0,0
"Wete","Selem","Wete_Selem",1,12,7,0.583333333333333,0.385651789621108,0,0
"Wete","Kinyikani","Wete_Kinyikani",1,18,33,0.403846153846154,0,0,0
"Wete","Chwale","Wete_Chwale",1,17,10,0.588235294117647,0,0,0
"Wete","Maziwani","Wete_Maziwani",1,7,2,0.181818181818182,1,0,0
"Wete","Mpambani","Wete_Mpambani",1,28,0,0,0,0,0
"Wete","Mjini Ole","Wete_Mjini Ole",1,12,5,0.357142857142857,0.0736646358421451,0,0
"Wete","Kiuyu Kigongoni","Wete_Kiuyu Kigongoni",1,13,4,0.307692307692308,0,0,0
"Wete","Mzambarauni Takao","Wete_Mzambarauni Takao",1,45,33,0.733333333333333,0.205680954464591,0,0
"Wete","Junguni","Wete_Junguni",1,40,54,1,0.279348437948857,0,0
"Wete","Kiungoni","Wete_Kiungoni",1,21,21,0.875,0.0440744902424123,0,0
"Wete","Pembeni","Wete_Pembeni",1,10,0,0,0,0,0
"Wete","Kizimbani","Wete_Kizimbani",1,18,4,0.222222222222222,0.617042863393773,0,0
"Wete","Limbani","Wete_Limbani",1,47,52,0.452570093457944,0.157542858738836,0,0
"Wete","Jadida","Wete_Jadida",1,33,20,0.606060606060606,0.673137669156843,0,0
"Micheweni","Micheweni","Micheweni_Micheweni",1,30,0,0,0.233333333333333,0,0
"Micheweni","Msuka Mashariki","Micheweni_Msuka Mashariki",1,63,21,0.604631927212572,0.392663640341492,0,0
"Micheweni","Kinowe","Micheweni_Kinowe",1,44,6,0.146341463414634,0,0,0
"Micheweni","Tumbe Mashariki","Micheweni_Tumbe Mashariki",1,25,21,0.777777777777778,0.284427500457018,0,0
"Micheweni","Mgogoni","Micheweni_Mgogoni",1,77,15,0.277777777777778,0.410060130736368,0,0
"Micheweni","Shumba Viamboni","Micheweni_Shumba Viamboni",1,48,20,0.530583214793741,0.416666666666667,0,0
"Micheweni","Finya","Micheweni_Finya",1,121,29,0.221374045801527,0.0828826254120104,0,0
"Micheweni","Konde","Micheweni_Konde",1,66,7,0.0933333333333333,0.031251663690607,0,0
"Micheweni","Wingwi Mapofu","Micheweni_Wingwi Mapofu",1,27,39,0.75,0.259259259259259,0,0
"Micheweni","Kiuyu Mbuyuni","Micheweni_Kiuyu Mbuyuni",1,46,5,0.147058823529412,0.152173913043478,0,0
"Micheweni","Makangale","Micheweni_Makangale",1,104,59,0.572815533980582,0.418283864127509,0,0
"Micheweni","Wingwi Njuguni","Micheweni_Wingwi Njuguni",1,26,0,0,0.346153846153846,0,0
"Micheweni","Shumba Mjini","Micheweni_Shumba Mjini",1,43,0,0,0,0,0
"Micheweni","Majenzi","Micheweni_Majenzi",1,13,0,0,0,0,0
"Micheweni","Mjini Wingwi","Micheweni_Mjini Wingwi",1,30,0,0,0,0,0
"Micheweni","Msuka Magharibi","Micheweni_Msuka Magharibi",1,43,22,0.761904761904762,0.399675491061875,0,0
"Micheweni","Chimba","Micheweni_Chimba",1,45,14,0.53125,0,0,0
"Micheweni","Tumbe Magharibi","Micheweni_Tumbe Magharibi",1,21,17,0.708333333333333,0.666666666666667,0,0
"Micheweni","Sizini","Micheweni_Sizini",1,27,10,0.303030303030303,0.333333333333333,0,0
"Micheweni","Kinyasini","Micheweni_Kinyasini",1,53,12,0.5,0.247919007613569,0,0
"Micheweni","Mihogoni","Micheweni_Mihogoni",1,74,0,0,0.0102046248785656,0,0
"Micheweni","Kifundi","Micheweni_Kifundi",1,78,86,0.881313131313131,0.711972534685122,0,0
"Micheweni","Maziwa Ng'ombe","Micheweni_Maziwa Ng'ombe",1,52,21,0.7,0,0,0
"Micheweni","Tondooni","Micheweni_Tondooni",1,68,36,0.559375,0.70778446095168,0,0
"Micheweni","Mtemani","Micheweni_Mtemani",1,39,4,0.0571428571428571,0,0,0
"Micheweni","Wingwi Mjananza","Micheweni_Wingwi Mjananza",1,22,0,0,0,0,0
"Micheweni","Mlindo","Micheweni_Mlindo",1,13,0,0,0,0,0
"Chake Chake","Chanjaani","Chake Chake_Chanjaani",1,47,28,0.332512315270936,0.276595744680851,0,0
